epoch,F1,binary_accuracy,loss,precision,recall,val_F1,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.0021009708,0.974145,0.10228027012944221,0.037784018,0.0030002028,0.0,0.97625732421875,0.09034613385796547,0.0,0.0
1,0.00024282224,0.9760088,0.09391161327064038,0.14634146,0.00012218715,0.0,0.97625732421875,0.08961667723953724,0.0,0.0
2,0.0047528823,0.9759639,0.09117602628469468,0.5555556,0.0024365482,0.05118826776742935,0.9766333103179932,0.10012978196144104,0.7138888835906982,0.026426734402775764
3,0.16787174,0.97726125,0.08026804517954587,0.68716997,0.09788177,0.27736350893974304,0.978710949420929,0.07428109273314476,0.714651882648468,0.17203085124492645
4,0.29697224,0.97848487,0.07193087150901556,0.68545014,0.19019504,0.3497045040130615,0.9796923995018005,0.0664942479133606,0.7289294004440308,0.23033419251441956
5,0.3435647,0.9790425,0.06866612964123488,0.69771767,0.22820862,0.4219678044319153,0.9800390601158142,0.06443871393799781,0.6743191480636597,0.30807197093963623
6,0.37094772,0.9794414,0.06636822958290577,0.70101815,0.2530304,0.43092650175094604,0.9803881645202637,0.06240184932947159,0.6925352811813354,0.31290489435195923
7,0.39440772,0.9798555,0.06412393243610859,0.7020268,0.27491787,0.4340727925300598,0.9806738495826721,0.06074294731020927,0.7117770910263062,0.3125964105129242
8,0.40575355,0.97999316,0.06302523902058602,0.7023172,0.28604335,0.44569942355155945,0.9809008836746216,0.060094796605408195,0.7167274355888367,0.323393315076828
9,0.41977707,0.9801929,0.06244719398021698,0.71129483,0.2983673,0.4667048752307892,0.9810449481010437,0.059503517746925354,0.7027083039283752,0.3495115637779236
10,0.4254085,0.9800957,0.062017416954040526,0.7086031,0.30420074,0.4371117353439331,0.9809179902076721,0.058927228301763536,0.7296127080917358,0.3118765950202942
11,0.43090838,0.980312,0.06103083692491054,0.7068336,0.310468,0.46722280979156494,0.9800390601158142,0.06278856463730335,0.6377378702163696,0.36874035000801086
12,0.43980572,0.9805449,0.06015815806388855,0.7090753,0.3195576,0.4793795049190521,0.9813061356544495,0.05810248009860516,0.7072144150733948,0.3628791868686676
13,0.45122993,0.98084766,0.05905138873308897,0.7145696,0.33060214,0.4614248275756836,0.9814453125,0.056684997007250784,0.7420824766159058,0.3349100351333618
14,0.4573767,0.9807998,0.05886808735132217,0.7128938,0.33729336,0.5047921538352966,0.9818554520606995,0.05600729387253523,0.7161983847618103,0.39053985476493835
15,0.4654638,0.9809722,0.058225884340703485,0.7164512,0.34548223,0.48088985681533813,0.9816064238548279,0.05543069291859865,0.728753387928009,0.35886889696121216
16,0.4644942,0.9808643,0.05824648084491491,0.7119963,0.34499118,0.5130680203437805,0.9819775223731995,0.05574432700872421,0.7143641114234924,0.4014395773410797
17,0.47269472,0.98109084,0.057875242963433264,0.72213244,0.35253078,0.5009574294090271,0.9819750785827637,0.05479329783469439,0.7305117845535278,0.38159382343292236
18,0.4731389,0.98105615,0.05750156876444817,0.7161581,0.35429162,0.5040906667709351,0.9820117354393005,0.05430322293192148,0.7293247580528259,0.3853984475135803
19,0.48199594,0.98137206,0.056724748082458976,0.72117645,0.36239654,0.5194051265716553,0.9821411371231079,0.05388355880975723,0.7182971239089966,0.40771207213401794
20,0.48874885,0.98156786,0.05616798317432404,0.7235167,0.36945722,0.5250455737113953,0.982006847858429,0.054987218081951145,0.7022153735160828,0.4204627275466919
21,0.485697,0.9813828,0.056293507754802706,0.7184884,0.36716235,0.5193144083023071,0.9821557402610779,0.053989031538367274,0.719237744808197,0.40750643610954285
22,0.48496494,0.98128515,0.056445771619677544,0.71786124,0.3670026,0.5458808541297913,0.982287585735321,0.053667845726013186,0.6964683532714844,0.45017993450164795
23,0.49534106,0.98146385,0.05587602900713682,0.72246695,0.3778802,0.525173008441925,0.9823144674301147,0.05342781405895949,0.7239574193954468,0.41233932971954346
24,0.49309552,0.9816992,0.05514903722703457,0.7204962,0.3758705,0.5400181412696838,0.9823828339576721,0.05281629707664251,0.7093974351882935,0.4370180070400238
25,0.49250147,0.9813901,0.05573770333826542,0.7172769,0.37561056,0.5064354538917542,0.9822216629981995,0.05285210389643907,0.7425054311752319,0.38457584381103516
26,0.49214458,0.9814585,0.05573704042285681,0.72065884,0.37467533,0.5487003922462463,0.9826245307922363,0.05238601714372635,0.7151815295219421,0.4456555247306824
27,0.49755728,0.9815708,0.055127760007977485,0.7189801,0.3813892,0.5167846083641052,0.9821752905845642,0.05281475130468607,0.7249442934989929,0.4016452431678772
28,0.49941328,0.9816035,0.055302869006991384,0.72040665,0.38301936,0.5267658829689026,0.9823949933052063,0.052213209755718706,0.7271413207054138,0.4137789309024811
29,0.50714296,0.98171824,0.05459399934113025,0.723374,0.39146197,0.5587772130966187,0.9824853539466858,0.052439730279147626,0.6947031021118164,0.46796914935112
30,0.50440896,0.981853,0.0543523178845644,0.722218,0.38812542,0.5293967723846436,0.9824682474136353,0.05197290025651455,0.7291892170906067,0.4161439538002014
31,0.50634223,0.9818003,0.0543223262950778,0.7211593,0.39121124,0.5556007623672485,0.9825000166893005,0.05217988010495901,0.6989263892173767,0.46190232038497925
32,0.50719184,0.9818149,0.054462033420801165,0.72119504,0.3915332,0.5405258536338806,0.9823412895202637,0.05243768151849508,0.7060185074806213,0.4390745460987091
33,0.5122072,0.98203516,0.05377044201642275,0.72585064,0.39622796,0.5385302305221558,0.9825610518455505,0.05163795314729214,0.7236659526824951,0.42951157689094543
34,0.51252735,0.981897,0.05427518800646067,0.7262202,0.39625823,0.5403985977172852,0.9825243949890137,0.051643286943435666,0.7183937430381775,0.43413880467414856
35,0.51491904,0.98193944,0.053664781972765925,0.722428,0.40102205,0.5560449957847595,0.9826831221580505,0.05099256973713637,0.7094207406044006,0.4584061801433563
36,0.5163722,0.98210645,0.05341759391129017,0.7261116,0.401404,0.5445566773414612,0.9826880097389221,0.050965068861842155,0.7241320610046387,0.43753212690353394
37,0.51731306,0.98215574,0.05323612696677446,0.72538304,0.40298232,0.5352784991264343,0.9826269745826721,0.05112221226096153,0.7327386140823364,0.4223136305809021
38,0.52067256,0.98194385,0.05380771412700415,0.72649544,0.40652063,0.5642887353897095,0.9830175638198853,0.05032542500644922,0.7209896445274353,0.46447300910949707
39,0.5160435,0.98189455,0.05405227693170309,0.72507596,0.40109366,0.5587241649627686,0.9828760027885437,0.05068856880068779,0.7190176248550415,0.45758354663848877
40,0.52358437,0.98204005,0.053334638975560664,0.7268067,0.4101262,0.5463149547576904,0.9829248189926147,0.050327761955559255,0.7392675876617432,0.4338303208351135
41,0.52591735,0.9821162,0.052937662415206435,0.72806233,0.4124365,0.5686894059181213,0.9830297827720642,0.050081564523279665,0.715976357460022,0.4728020429611206
42,0.52751905,0.9822842,0.05291262949258089,0.7309146,0.41347504,0.5446141958236694,0.9827587604522705,0.05064779978245497,0.7292922139167786,0.43547558784484863
43,0.5266894,0.9822686,0.05253026643395424,0.72583246,0.41398343,0.5536611676216125,0.982983410358429,0.05018894769251347,0.7331189513206482,0.4454498589038849
44,0.52511543,0.982208,0.05275957978516817,0.7248808,0.41282025,0.5522342920303345,0.98291015625,0.050206694826483725,0.729725182056427,0.4450385570526123
45,0.5275284,0.9821836,0.05286871653795242,0.72802484,0.41431093,0.5516572594642639,0.98284912109375,0.05009581729769707,0.7264341115951538,0.44534704089164734
46,0.5327287,0.9822134,0.052556466788053514,0.7288719,0.41967896,0.5644912719726562,0.9830712676048279,0.04969349257647991,0.7242487668991089,0.4634447395801544
47,0.5333137,0.98239017,0.05216101805120706,0.72838724,0.4216924,0.573564350605011,0.983105480670929,0.04962270259857178,0.714745044708252,0.47999998927116394
48,0.5340489,0.9823989,0.05226643745601177,0.7308616,0.42135048,0.5807093977928162,0.9830468893051147,0.04996573410928249,0.7026081681251526,0.49583548307418823
49,0.53405493,0.9824297,0.05183983684331179,0.7312641,0.42157823,0.5815099477767944,0.9832763671875,0.049630839638412,0.7154849171638489,0.49079692363739014
50,0.53478914,0.9824248,0.0521305953040719,0.72823495,0.4238851,0.5746895670890808,0.9831030368804932,0.04954627107828855,0.7133292555809021,0.48205655813217163
51,0.53226066,0.98215383,0.05265422939509153,0.7278144,0.42092854,0.5820310711860657,0.9833593964576721,0.04960388027131558,0.7201452851295471,0.48925450444221497
52,0.53352,0.98232764,0.052291880376636984,0.7282235,0.42175654,0.5673971176147461,0.9832251071929932,0.04931035246700048,0.7303099036216736,0.4652956426143646
53,0.54037166,0.9825308,0.05135021360963583,0.7282954,0.4306556,0.5689585208892822,0.9832006692886353,0.04941324308514595,0.7270839810371399,0.4681748151779175
54,0.53412765,0.98230714,0.052080443486571315,0.7262846,0.42351604,0.5832359194755554,0.9834155440330505,0.04903824783861637,0.7215840220451355,0.4908997416496277
55,0.53614676,0.98240185,0.051926316119730476,0.7290424,0.42499796,0.5855870246887207,0.9834765791893005,0.0488497032225132,0.7229006290435791,0.4930591285228729
56,0.5385284,0.9823633,0.05178529620170593,0.72821254,0.42807657,0.5868877172470093,0.9832177758216858,0.04908174280077219,0.7054330706596375,0.5033419132232666
57,0.5361976,0.9824287,0.05170876818150282,0.72644365,0.42594445,0.5772634744644165,0.9832568168640137,0.04847863364964724,0.7200982570648193,0.4822622239589691
58,0.5423065,0.9826367,0.051278504744172095,0.7326657,0.4316071,0.585191547870636,0.9833520650863647,0.04888947509229183,0.7153230309486389,0.49634960293769836
59,0.5402523,0.98258597,0.05143621055781841,0.7317532,0.42922765,0.5812150835990906,0.9835205078125,0.048199725076556205,0.7318061590194702,0.4828791916370392
60,0.54815626,0.9827056,0.051238741517066956,0.73782915,0.43659344,0.5829171538352966,0.983471691608429,0.048448667898774146,0.7262287735939026,0.4877120852470398
61,0.5448756,0.9824312,0.05159072109311819,0.7300433,0.4352903,0.581920862197876,0.9832934737205505,0.04855441842228174,0.7157185673713684,0.4916195273399353
62,0.543483,0.9826934,0.05141349063813686,0.73281837,0.4327415,0.5880374312400818,0.9834692478179932,0.04870711758732796,0.7192695736885071,0.49820050597190857
63,0.54828,0.98286426,0.05070760302990675,0.736717,0.4378302,0.5588642358779907,0.9832226634025574,0.0484938857331872,0.7423959374427795,0.44925451278686523
