epoch,F1,binary_accuracy,loss,precision,recall,val_F1,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.00866520716807618,0.9738569,0.1027821610569954,0.050649352,0.0047378973,0.0021127366590190095,0.974631369113922,0.16108923584222792,0.029100529849529263,0.001096163410693407
1,0.07136457209885666,0.9757031,0.0900193260461092,0.42574036,0.03894649,0.17435546520596856,0.9762304425239564,0.08206078790128231,0.5850881934165955,0.1024414524435997
2,0.24763929749689265,0.9768906,0.0763479180186987,0.55803126,0.15912805,0.34551586110164756,0.9777466058731079,0.0717911160364747,0.6181911826133728,0.2397608309984207
3,0.3356871991262115,0.97781396,0.06992474473267794,0.6028462,0.23260526,0.4121801944322044,0.9790747165679932,0.06367308374494314,0.6610206961631775,0.29945191740989685
4,0.378369140008344,0.97860354,0.06617568784952163,0.6303649,0.27030972,0.41885030768832693,0.9795873761177064,0.062428821288049226,0.6923253536224365,0.3002491295337677
5,0.40342495005510076,0.97907764,0.06382353013753891,0.6433393000000001,0.29384443,0.46646616010392894,0.9800732135772704,0.06011068113148212,0.677940309047699,0.35555556416511536
6,0.43140013807710353,0.97950095,0.0619909935593605,0.6614612,0.32007557,0.5039486337552519,0.9803711175918579,0.05810809329152108,0.6615908145904541,0.4069755971431732
7,0.45096250366462887,0.9799746,0.05988997577875853,0.6665743000000001,0.3407445,0.49060243366383344,0.9806787371635436,0.05699238408356905,0.6927831172943115,0.37977081537246704
8,0.4586562027244791,0.98021877,0.059026689052581786,0.6743683000000001,0.34750035,0.5072619605602181,0.9810327291488647,0.055676898099482064,0.6976622343063354,0.3985052406787872
9,0.46652188034702247,0.9804429,0.05815215267986059,0.67576015,0.35622317,0.4917544637382523,0.980812966823578,0.057243309915065765,0.7004421353340149,0.3788739442825317
10,0.46648482033976335,0.9804165,0.057882780075073234,0.67334867,0.35685357,0.5143573154422105,0.9810888767242432,0.05591795548796654,0.6934911012649536,0.40876930952072144
11,0.48209182449742943,0.9807739,0.05663240652531385,0.68339795,0.3723964,0.5237226898109976,0.9814965724945068,0.05376990001648665,0.708914577960968,0.4152466356754303
12,0.4887271068879008,0.98099905,0.05563758025318384,0.6851975,0.37981948,0.5231492833416043,0.9816943407058716,0.05350257936865091,0.7229741811752319,0.4098654687404633
13,0.4884460462824906,0.9808457,0.05574128703027963,0.6831546,0.3801096,0.5272431586436465,0.981528341770172,0.052932017929852006,0.7068185806274414,0.4204285144805908
14,0.49926249829321734,0.9811016,0.05530076562613249,0.6927938,0.39024734,0.5327015071741225,0.9817016720771792,0.05295249316841364,0.7115256786346436,0.4257100224494934
15,0.5031499689745431,0.98116946,0.05473972736299038,0.69153947,0.3954275,0.5534933986476686,0.9820263385772704,0.05223881665617229,0.7071129679679871,0.4547085165977478
16,0.5071135205096103,0.98127395,0.05442720904946327,0.6950502,0.39917853,0.5480501441883718,0.9821460247039796,0.0514254367351532,0.721444845199585,0.4418535232543945
17,0.5142197566363421,0.9814927,0.05363497581332922,0.69658667,0.40752855,0.5561004672422338,0.9821020364761353,0.05218148786574602,0.7086419463157654,0.4575984179973602
18,0.5205681624516124,0.9816245,0.05321199474483728,0.6999314999999999,0.4143799,0.5606059951490161,0.9821581840515136,0.051656414233148096,0.7066848278045654,0.4645739793777466
19,0.5224644571462066,0.98160744,0.0529579680711031,0.7033965,0.41556922,0.5523551708820517,0.9822046160697936,0.05118768181651831,0.7197503447532654,0.4481315314769745
20,0.5204883294616733,0.9818013,0.05266049859672785,0.7001246,0.41421112,0.5341122717420235,0.981894552707672,0.05141739509999752,0.7225905060768127,0.42361733317375183
21,0.5249785759289127,0.9818325,0.0522021197155118,0.7028099,0.41896766,0.5693212995702334,0.982321798801422,0.05081156741827726,0.7061079740524292,0.4769307374954224
22,0.5293578686773457,0.9819258,0.05181596153974533,0.70337206,0.42436907,0.5668340120258077,0.9823095798492432,0.050205093175172806,0.7083520293235779,0.4724464416503906
23,0.5339968145609518,0.98193896,0.05217590972781181,0.70612735,0.42933837,0.5755075220567238,0.9822875857353208,0.05086910873651505,0.6969954371452332,0.490084707736969
24,0.5394130829607304,0.9821655,0.0511196758300066,0.7110371999999999,0.43453,0.5690701146355852,0.982666015625,0.049402272216975684,0.7278372645378113,0.467164933681488
25,0.53384922575357,0.9818242,0.051976666495203966,0.70553774,0.42936566,0.5677552537969894,0.9826806783676147,0.04915601965039969,0.7305943369865417,0.4642750322818756
26,0.5416010767244146,0.98221534,0.05072604987770319,0.7095232,0.4379516,0.5736024973093794,0.9826245307922364,0.04930156614631415,0.7192007303237915,0.4770303964614868
27,0.5437083126902349,0.9822764,0.05053280328959227,0.7094679,0.4407353,0.5816051465055616,0.9829077124595642,0.048551195189356806,0.7264854907989502,0.4849028289318085
28,0.5484460152670099,0.982271,0.050537321053445335,0.7112903,0.44627497,0.5814571387018731,0.9827075004577636,0.048839066214859485,0.7142857313156128,0.4902839958667755
29,0.5449302923969132,0.9821196,0.050908277258276936,0.7094321,0.44235736,0.5539328967261976,0.9826245307922364,0.04879361007362605,0.7464526891708374,0.4403587579727173
30,0.5453661350212989,0.982186,0.0508668203651905,0.7117255,0.44204274,0.5846299017035607,0.9828588962554932,0.04863484684377909,0.7194234132766724,0.4923766851425171
31,0.5528746378359007,0.9824639,0.04987620490044355,0.71492046,0.45071453,0.5958418180648272,0.9831518530845642,0.047954005300998685,0.7225852012634277,0.5069257616996765
