epoch,F1,binary_accuracy,loss,precision,recall,val_F1,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.0021603222,0.9739282,0.10319878552854062,0.032446314,0.0028143919,0.0,0.9759008884429932,0.09183449730277062,0.0,0.0
1,0.00019564334,0.9759277,0.094564103230834,0.20833333,0.000101448684,0.0,0.9759008884429932,0.09043333344161511,0.0,0.0
2,0.0001817462,0.9758896,0.0925217617303133,0.22727273,0.000101284284,0.0021111213136464357,0.9759155511856079,0.08982298783957958,0.7142857313156128,0.0010130685986950994
3,0.009725801,0.97592044,0.08984557512402534,0.4173765,0.0049778535,0.023171009495854378,0.9758886694908142,0.08881577849388123,0.48962655663490295,0.011954208835959435
4,0.018853081,0.9758325,0.08701428280770779,0.43125,0.009789019,0.008584016934037209,0.9759204387664795,0.089022246748209,0.550000011920929,0.004457501694560051
5,0.047245808,0.9760259,0.08176519925892353,0.45003647,0.025273938,0.05738189071416855,0.9759374856948853,0.08469685368239879,0.5126475691795349,0.030797284096479416
6,0.11015188,0.9759927,0.07807101321220399,0.5183952,0.06305175,0.1556655764579773,0.9757373332977295,0.08491526745259761,0.4825247824192047,0.09370884299278259
7,0.17338596,0.9763936,0.07363275710493326,0.5476368,0.10424663,0.18528586626052856,0.9762670993804932,0.07551889043301344,0.5361968874931335,0.11255192011594772
8,0.22133303,0.9767256,0.07115905071794987,0.5734359,0.13872364,0.2417774349451065,0.9773242473602295,0.06806199111044407,0.6211051344871521,0.15145374834537506
9,0.265509,0.97734964,0.06843209426105022,0.6001848,0.17160161,0.2646963596343994,0.9775121808052063,0.06778360769152642,0.6229507923126221,0.16938506066799164
10,0.29137677,0.9776001,0.06704156471788883,0.61105037,0.19258839,0.3361320197582245,0.9781469702720642,0.06529706068336964,0.6263736486434937,0.23097963631153107
11,0.32249385,0.97811425,0.06547216260433197,0.633237,0.21755609,0.3207179009914398,0.9775219559669495,0.06740361332893371,0.5897297263145447,0.22105155885219574
12,0.34932095,0.97870165,0.0637141042277217,0.64705557,0.23991993,0.38980114459991455,0.9789355397224426,0.061141221597790715,0.6447031497955322,0.28051868081092834
13,0.36240235,0.97868997,0.06346090837568044,0.6514977,0.25169435,0.42448410391807556,0.9796069264411926,0.05993467006832361,0.6628755331039429,0.3129368722438812
14,0.3876437,0.979209,0.061616632401943205,0.66195184,0.27490956,0.3902307152748108,0.978869616985321,0.06400572128593922,0.6398987770080566,0.2817343771457672
15,0.3990889,0.9794351,0.06072295147180557,0.666048,0.28505957,0.3981279134750366,0.9796069264411926,0.059561404213309285,0.6888059973716736,0.28051868081092834
16,0.40567532,0.9795703,0.06049609895795584,0.6729244,0.29136947,0.4240504205226898,0.97979736328125,0.060114986747503284,0.6767833232879639,0.30949243903160095
17,0.42324823,0.97965574,0.05976195427775383,0.6773809,0.30869216,0.4373960793018341,0.9802001714706421,0.058128753416240214,0.6930497884750366,0.32023099064826965
18,0.43138704,0.98010594,0.058425887055695055,0.6796677,0.31747717,0.41664549708366394,0.9798681735992432,0.05978840064257383,0.6899695992469788,0.2989565432071686
19,0.4454437,0.9801802,0.05799262215942144,0.68666106,0.3307672,0.44634535908699036,0.9799463152885437,0.05966385442763567,0.6659988164901733,0.3367440104484558
20,0.44705316,0.98012745,0.05811698367446661,0.68537223,0.33229876,0.43935835361480713,0.98052978515625,0.05738701269030571,0.7170329689979553,0.31729307770729065
21,0.4470683,0.9801729,0.0576166855469346,0.68177485,0.33324558,0.4664614200592041,0.9808666706085205,0.055159631446003915,0.7106462121009827,0.3475838303565979
22,0.46359396,0.9807373,0.05628068001568318,0.6919182,0.34910578,0.5058580636978149,0.9810107350349426,0.05534184940159321,0.6768632531166077,0.40573397278785706
23,0.4673496,0.9805313,0.0566874443590641,0.69165945,0.35407007,0.4374118745326996,0.9804711937904358,0.05664665624499321,0.7145804762840271,0.31577348709106445
24,0.4750808,0.98081297,0.055826530694961546,0.6959441,0.36137348,0.4844387173652649,0.9811035394668579,0.054427080377936365,0.7066925168037415,0.3690608739852905
25,0.48109695,0.980937,0.055487502045929435,0.6979407,0.36814266,0.5072527527809143,0.9813940525054932,0.05370416276156902,0.700249195098877,0.3985411822795868
26,0.4764745,0.98089206,0.055491968967020515,0.69464225,0.3633237,0.5100408792495728,0.9813379049301147,0.05437403313815594,0.6936858296394348,0.4040117561817169
27,0.48355824,0.98087645,0.055195300802588464,0.69673187,0.3709303,0.4946197271347046,0.9813403487205505,0.0531470063701272,0.7114654779434204,0.37969809770584106
28,0.4865434,0.9810679,0.05476071944832802,0.6961729,0.3748525,0.5191298723220825,0.9816674590110779,0.05379879143089056,0.7047503590583801,0.41181236505508423
29,0.48055613,0.9808838,0.0548858178332448,0.69068795,0.36946973,0.49516525864601135,0.9814428687095642,0.052768319994211194,0.7178502678871155,0.3788876533508301
30,0.49209186,0.98125637,0.05381339281052351,0.69537485,0.38153613,0.5018298625946045,0.9813745021820068,0.05485153395682573,0.7050859928131104,0.3904366195201874
31,0.49645987,0.9812861,0.05375424934178591,0.6960918,0.38644296,0.5255867838859558,0.9818750023841858,0.05222144141793251,0.7109846472740173,0.41768819093704224
