epoch,F1,binary_accuracy,loss,precision,recall,val_F1,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.0046828226,0.9737119,0.10216343097388744,0.042736843,0.0041015074,0.00021052626834716648,0.9759252667427063,0.0878160959482193,0.125,0.00010147133434657007
1,0.14488426,0.9763867,0.08138908787071705,0.5399254,0.08858822,0.39291831851005554,0.976318359375,0.07331540130078792,0.5125384330749512,0.32146120071411133
2,0.30233568,0.97762156,0.07044393708556891,0.5993417,0.20375985,0.42968693375587463,0.9783105254173279,0.06452234074473381,0.5844200849533081,0.3410451412200928
3,0.3682045,0.9785918,0.06476999579370021,0.62886244,0.26151058,0.4480670094490051,0.979565441608429,0.060028346814215185,0.639070987701416,0.3462201952934265
4,0.40079695,0.97929883,0.061692696407437325,0.64550024,0.29192355,0.46482592821121216,0.9799438714981079,0.05749050587415695,0.6486584544181824,0.3630644381046295
5,0.43396834,0.9797285,0.059508995316922664,0.66095734,0.3240765,0.5087227821350098,0.9804467558860779,0.0559580821543932,0.6426143646240234,0.42201927304267883
6,0.44728127,0.9798555,0.05837552726268768,0.66783303,0.3379613,0.5259678363800049,0.9813452363014221,0.053708860501647,0.6756027936935425,0.4321664273738861
7,0.46545783,0.9805679,0.056304750971496106,0.67668,0.3557838,0.5497744083404541,0.9811840653419495,0.05334139287471771,0.6468818187713623,0.4799593985080719
8,0.47721523,0.9805469,0.05538485999405384,0.6772687,0.3698081,0.5372346043586731,0.9817284941673279,0.052184127755463126,0.6867811679840088,0.442313551902771
9,0.4866367,0.98090774,0.05433197963982821,0.68231976,0.3794854,0.5418846011161804,0.9819775223731995,0.05099516671150923,0.6959277391433716,0.44566211104393005
10,0.49480227,0.98110497,0.053627334557473656,0.68738717,0.38798672,0.5724378824234009,0.9819629192352295,0.050721549205482004,0.6651492714881897,0.5041095614433289
11,0.5010993,0.9814741,0.05252132787555456,0.6900743,0.39464945,0.5532623529434204,0.9822534322738647,0.04979153010994196,0.7004651427268982,0.45844748616218567
12,0.51789916,0.9814976,0.05193582183122635,0.699165,0.4124725,0.5873575210571289,0.9825146198272705,0.04856326386332512,0.6783207654953003,0.5197361707687378
13,0.5174177,0.9814375,0.052021028727293014,0.69697386,0.41218248,0.6007702350616455,0.9827026128768921,0.0488540880382061,0.6746091842651367,0.5429731011390686
14,0.52642024,0.98165333,0.05116645345836878,0.6991,0.42352584,0.5780701637268066,0.9827783107757568,0.047862518094480035,0.7025307416915894,0.4929477274417877
15,0.5340985,0.98190725,0.050596956692636016,0.70601493,0.4304969,0.5970115065574646,0.98291015625,0.047707465775310993,0.6885483860969543,0.5289700627326965
16,0.5389488,0.98208445,0.050183078974485394,0.7057705,0.43713826,0.5961610078811646,0.9831445217132568,0.04716291598975658,0.7020402550697327,0.5202435255050659
17,0.53566456,0.9820034,0.050240627840161325,0.70536894,0.43294576,0.5971691012382507,0.9832592606544495,0.04628636062145233,0.7076177000999451,0.5184170603752136
18,0.5484145,0.9823452,0.04899335740506649,0.70994556,0.44797724,0.6196901202201843,0.9833667278289795,0.0466957663372159,0.6869469285011292,0.567123293876648
19,0.54829985,0.9820918,0.04921369840204716,0.707571,0.4489677,0.6088507175445557,0.9833691120147705,0.04617870423942804,0.6995933651924133,0.5411466360092163
20,0.5505599,0.98240334,0.04884369648247957,0.7086349,0.45092323,0.601466953754425,0.9834521412849426,0.045451758056879045,0.7137102484703064,0.5213597416877747
21,0.55634886,0.98254,0.04800289357453585,0.7097629,0.45876646,0.6067212224006653,0.983471691608429,0.04562546093016863,0.7078000903129578,0.533130407333374
22,0.5550768,0.98234475,0.04842639236152172,0.7084702,0.4575713,0.6132665872573853,0.983654797077179,0.04519336380064488,0.7104421854019165,0.541248083114624
23,0.56638354,0.98277783,0.047717618748545645,0.71752834,0.46889332,0.6204071640968323,0.9838818311691284,0.044400658421218396,0.714154064655304,0.550380527973175
24,0.57236177,0.982958,0.04690634185448289,0.7200516,0.47617307,0.620810866355896,0.9838403463363647,0.04463544804602861,0.7113375067710876,0.5526129007339478
25,0.57811314,0.9831431,0.046826203651726246,0.72462577,0.4825003,0.623354971408844,0.9837670922279358,0.044476327300071714,0.7037366628646851,0.5618467926979065
26,0.5708359,0.9829453,0.046934013813734056,0.7159335,0.4762274,0.6215014457702637,0.9840234518051147,0.043686878457665446,0.7204687595367432,0.5489599108695984
27,0.5767129,0.98300636,0.04677250477671623,0.72174364,0.48141554,0.6216849684715271,0.9842895269393921,0.04337601739913225,0.7370390892028809,0.5395230650901794
28,0.57204163,0.9830552,0.046380197696387765,0.71718574,0.47705105,0.6453321576118469,0.9839257597923279,0.044420526158064605,0.6868929266929626,0.6099441647529602
29,0.5815167,0.98322755,0.04569995956122875,0.7188871,0.4890842,0.6002532243728638,0.9838427901268005,0.04392217729240656,0.7399555444717407,0.506443440914154
30,0.5818489,0.9832505,0.04584275171905756,0.72119606,0.48917547,0.6173728108406067,0.9843310713768005,0.04317481433972716,0.7460271716117859,0.5287671089172363
31,0.5865509,0.98340136,0.04535494383051991,0.7250487,0.49348053,0.6429178714752197,0.9843384027481079,0.04327445730566978,0.7103203535079956,0.5894469618797302
32,0.5868535,0.9834512,0.04564957576990127,0.72676706,0.4935582,0.6467905640602112,0.9845263957977295,0.043126094173640016,0.7158463001251221,0.5917808413505554
33,0.5930762,0.9834414,0.04517497069388628,0.7274407,0.50189185,0.649557888507843,0.9845141768455505,0.0427928613871336,0.7115153074264526,0.5993911623954773
34,0.59462094,0.9834912,0.0452123066149652,0.7279689,0.5040782,0.6338132619857788,0.9844604730606079,0.042367811501026156,0.7297261953353882,0.5624555945396423
35,0.587052,0.9833369,0.04556881769001484,0.72367483,0.49522182,0.63816237449646,0.9843823313713074,0.04263944208621979,0.7193605899810791,0.5753424763679504
36,0.59470475,0.98344284,0.044855534225702286,0.72597957,0.50473243,0.6235753297805786,0.9845361113548279,0.041979308910667895,0.7498226165771484,0.5361745357513428
37,0.5930678,0.9835664,0.04476768767088651,0.7236162,0.50388724,0.648573637008667,0.9846093654632568,0.04192683981731534,0.717986524105072,0.5934043526649475
38,0.59931666,0.98364747,0.04462619283795357,0.72913945,0.51003224,0.6379176378250122,0.98468017578125,0.041632699612528086,0.7370232939720154,0.5647894740104675
39,0.5943834,0.98351026,0.04487731697410345,0.725951,0.5048934,0.6490777730941772,0.9849023222923279,0.041374075282365086,0.7339707016944885,0.5842719674110413
40,0.6007302,0.9837373,0.04426934155449271,0.7286008,0.51215386,0.6496841311454773,0.9847680926322937,0.04147094814106822,0.7256615161895752,0.5899543166160583
41,0.6014127,0.9837432,0.04417591159045696,0.729743,0.5128325,0.6549696326255798,0.984790027141571,0.04142756352201104,0.7185578346252441,0.6046676635742188
42,0.60926783,0.9839907,0.043645910538733006,0.73362356,0.5216497,0.6521470546722412,0.9849389791488647,0.040958999786525965,0.7323499917984009,0.5894469618797302
43,0.6087833,0.9839253,0.044107459146529436,0.7333086,0.52188116,0.6409482359886169,0.9849096536636353,0.04084983991459012,0.74764084815979,0.5627599954605103
44,0.61012894,0.9839771,0.043476890720427035,0.73413795,0.52350503,0.6508390307426453,0.9848071336746216,0.04129185786470771,0.7258144617080688,0.5922881960868835
45,0.6121974,0.9840366,0.043254251837730406,0.73321444,0.52679425,0.6486343145370483,0.9850097894668579,0.04064614797011018,0.7416417598724365,0.5784880518913269
46,0.60932696,0.98396385,0.04356036555022001,0.7317622,0.5233171,0.6735407114028931,0.985180675983429,0.04098888028413057,0.7151301503181458,0.6383561491966248
47,0.613436,0.98396677,0.043636861756443976,0.73456633,0.5287331,0.6488739252090454,0.9849463105201721,0.040520276352763174,0.7373568415641785,0.5814307332038879
48,0.61648345,0.98423046,0.04263256124034524,0.73499715,0.5323108,0.6723757386207581,0.9853320121765137,0.0405190154351294,0.7248918414115906,0.629122257232666
49,0.6196089,0.9842031,0.042982347495853904,0.7372092,0.5353945,0.6566671133041382,0.9851049780845642,0.040310824066400526,0.7347423434257507,0.5961440801620483
50,0.61192423,0.9838457,0.043421341639012095,0.7331205,0.5263909,0.6580584645271301,0.9853076338768005,0.04012091377750039,0.7449878454208374,0.5919837355613708
51,0.6134814,0.9841162,0.04304526438191533,0.7331391,0.52874804,0.6599149107933044,0.9852660894393921,0.04027102246880531,0.7394683957099915,0.5984779596328735
52,0.61895484,0.98406297,0.04324674479663372,0.7358605,0.5352305,0.6742855310440063,0.9852929711341858,0.04027564518153667,0.7200459241867065,0.6360223293304443
53,0.61938804,0.9842407,0.042597871385514734,0.73572206,0.53592646,0.6627845168113708,0.9853198528289795,0.039895942602306604,0.738930344581604,0.6028411984443665
54,0.62058276,0.9843257,0.0424913839250803,0.7376434,0.536968,0.6647554039955139,0.9855151176452637,0.039459326080977915,0.7481022477149963,0.6000000238418579
55,0.62062603,0.98426026,0.04235193924233317,0.735201,0.5384428,0.6718398332595825,0.9855126738548279,0.03952984707430005,0.7366896271705627,0.619178056716919
56,0.6290642,0.98446435,0.04214262118190527,0.74118483,0.5476465,0.6636804938316345,0.985546886920929,0.039194838460534814,0.75175940990448,0.5961440801620483
